page,english,japanese
37,Three people looking at a sports car.,スポーツカーを見ている3人の人々。
67,A man holds a pair of scissors with a man and a woman looking at him.,男性がはさみを持っていて、もう一人の男性と女性が彼を見ています。
38,A boy dressed in a suit and tie holds the steering wheel.,スーツとネクタイを着た少年がステアリングホイールを握っています。
57,A man points a gun at his own head.,男性が自分の頭に銃を向ける。
71,A boy looks up at a long-haired man standing on the stairs.,少年が階段に立っている長髪の男性を見上げている。
74,"In front of the stairs, a boy punches a long-haired man in the face.",階段の前で、少年が長髪の男性を顔にパンチしています。
76,A boy looking at a man through window,窓越しに男性を見ている少年
77,"A hand holds a gun, aiming it at a boy.",手が銃を持って、少年に狙いをつけている。
92,A boy and a girl kissing.,少年と少女がキスしている。
38,A girl hugs a boy,女の子が男の子を抱きしめる
39,A hand holds a broken watch.,手が壊れた時計を持っています。
27,A bunch of people surround a shattered window; a young man appears shocked.,たくさんの人々が割れた窓を囲んでいる; 若い男性が驚いたように見える。
17,A man wearing sunglasses is talking to another man with a scar on his face.,サングラスをかけた男が、顔に傷のある別の男と話しています。
20,A man with a scar on his face fiercely swings his mechanical arm.,顔に傷跡のある男が、機械の腕を激しく振り回す。
24,A boy in a suit and his reflection in the mirror.,スーツを着た少年と鏡の中の彼の姿。
10,A wrinkled eye.,しわが寄った目。
8,"An older man shows a watch to a boy, and the boy appears excited.",年配の男性が少年に時計を見せると、少年は興奮しているように見える。
6,A girl wearing a dress and a necklace anxiously shouts something to the boy,ドレスとネックレスを着た女の子が、男の子に何かを不安そうに叫んでいる
14,"A girl wearing a cross appears to be in great distress, with a menacing, muscular man's head in the background.",クロスを身に着けた女の子は非常に苦しそうで、背後にいる脅威的で筋肉質な男の頭がいる。
22,"There are broken paintings on the ground, and the boy anxiously holds an injured older man.",地面には壊れた絵画があり、少年は不安そうに怪我をした年配の男性を抱えています。
25,Two men with long hair pointing their fingers.,長い髪の二人の男性が指を指しています。
34,"A boy stands while others lie injured on the ground, with shattered glass in the background.",少年が立っている一方で、他の人たちは地面に傷ついて横たわり、背景には割れたガラスが散らばっています。
6,A man hits another man from the back,男性が後ろから別の男性を殴る
13,A girl with short hair and wings sitting.,短い髪と翼を持つ女の子が座っている。
13,Two girls sit on the bed and two girls standing.,ベッドに座っている女の子が二人と立っている女の子が二人。
22,A notebook paper with japanese text on it.,日本語の文字が書かれたノートの紙。
27,Bird's eye view of a town,町の鳥瞰図
32,An old man with robot arm and missing leg.,ロボットアームつけて、足が欠けている老人。
56,A car firing a missile.,ミサイルを発射する車。
6,A hand reaches for a cup of coffee.,手がコーヒーカップに伸びる。
7,A blushing girl holds her arm with palm facing the boy.,赤面した女の子が、手のひらを男の子に向けて腕を持っています。
7,A short-haired woman introduces a man with scars on his face to a boy sitting on the couch.,短髪の女性が、顔に傷跡のある男性をソファに座っている少年に紹介します。
8,A photo album displays five pictures of a young girl with short hair.,フォトアルバムには、短髪の若い女の子の写真が5枚表示されています。
17,Two legs point out from a broken window while a man stares at it.,壊れた窓から二本の足が突き出している間、男性がそれを見つめています。
17,A man lowers his glasses from his face.,男性が顔から眼鏡を下げる。
19,A man stabs a knife into the foot of another man with a scar on his face.,"顔に傷のある男が、別の男の足にナイフを刺す。
"
28,A scary man extends his hand toward a woman with short hair.,怖い男性が、短髪の女性に手を伸ばします。
41,A woman with short hair cries with tears streaming down her face.,短い髪の女性が涙を流して泣いています。
54,Several hand grenades,いくつかの手榴弾
62,A bus crashed into a guardrail to avoid hitting a sports car.,バスはスポーツカーとの衝突を避けるためにガードレールに衝突しました。
65,"A young person is pointing a gun at a middle-aged man with only a handful of hair, a beard, and his mouth wide open.",若者が、髪の毛がほんの少ししかなく、ひげを生やし、口を大きく開けた中年男性に銃を向けている。
67,"A man's profile, with a sharp nose and a beard.",鋭い鼻とひげを持つ男性のプロフィール。
68,"A beautiful girl with wings, her hand is tousling her hair.",翼のある美しい女の子。彼女の手は髪をかき乱している。
71,"A group of people running on a rural path, with trees on both sides of the road.",道路の両側に木がある田舎の道で走る人々。
78,Three men are facing each other with guns.,3人の男性が銃を持ってお互いに向き合っています。
58,A man with tattoos on his face is holding a heavy machine gun in his hand.,顔にタトゥーのある男性が、手に重機関銃を持っています。
55,"One man is operating a cannon, while the other looks shocked.",一人の男性が大砲を操作している間、もう一人の男性は驚いた顔をしています。
51,A map displayed on a screen is being used to track something.,画面に表示された地図が何かを追跡するために使われています。
45,A jeep and a sedan are driving side by side.,ジープとセダンが並んで運転されています。
43,A hand is operating a gear shift.,手がギアシフトを操作しています。
