page,english,japanese
4,As for you--that beauty can't be obtained without experiencing wonderful love... I'm jealous of your jewel-like sparkle.,キミの方こそ――その美しさは素敵な恋を重ねなければ得られない…　宝石のような輝きにボクは嫉妬してるよ
20,The one who gave me the name Jade (Hisui) and allowed me to be reborn like this,こんなわしにＪａｄｅ（翡翠）という名を贈り生まれ変わらせてくれたのが
7,"Jed, the gardener, helps me with various things in this house, such as Dollgan's legacy items like cars and other things that I can't manage with just a woman's touch.",庭師のジェドよ　この家にはドールガンの遺品…車とかその他いろいろ―――女手だけじゃ行き届かないので手伝ってもらってるの
51,The car navigation system only shows the shortest distance on the map.,カーナビは地図上の最短距離しか示さない――
26,Today's final wide show segment is the news.,本日のワイドショー最後はニュースです
45,The scenery hitting the front windshield flows away in an instant--- that washes away the thoughts in my head.,フロントガラスにぶつかってくる景色が一瞬で流れ去る―――　それが頭の中を洗い流し
85,Leticia... it seems like you still don't understand French.,レティシア…やっぱり仏語わからないようよ
51,The car navigation system only shows the shortest distance on the map.,カーナビは地図上の最短距離しか示さない――
3,"I might be intimidated by older women, but when I was 24, I dated a 42-year-old woman. It was a sweet experience.",年上の女性に気後れしてるのだろうがボクは24歳の時42歳の女性と付き合った事がある　それは甘美な体験だった
39,"Having stumbled through revolutions, mercenaries, and assassins, this old man...",革命・傭兵・殺し屋と転んできたこのわしを―――
51,The car navigation system only shows the shortest distance on the map.,カーナビは地図上の最短距離しか示さない――
7,"In particular, this Jed is useful, well-versed in machines in general, and good at housework.",特にこのジェドは役に立つ　機械一般に精通し家事も得意
74,"At that moment, the sensation was stored in the brain's synapses as battle information.",その時の感覚は脳内シナプスに戦いの情報として蓄積された――！
45,The scenery hitting the front windshield flows away in an instant--- that washes away the thoughts in my head.,フロントガラスにぶつかってくる景色が一瞬で流れ去る―――　それが頭の中を洗い流し
40,"When I was 28, my right hand was crushed by a T54 in Prague, and by the time I crossed the German border, it had started to rot. At that time, I never even dreamed that I could have such a happy moment in my life.",28歳の時プラハでＴ54に踏み潰されたわしの右手はドイツの国境を越える頃には腐りかけていた　あの時　自分の人生にこんな幸せな時聞ができるとは夢にも思わなかった
45,The scenery hitting the front windshield flows away in an instant--- that washes away the thoughts in my head.,フロントガラスにぶつかってくる景色が一瞬で流れ去る―――　それが頭の中を洗い流し
35,"It can't be helped, so should we tie up the other person and throw them in the bathroom until we hand them over to the police?",しょうがないもう一人の方は警察に渡すまで縛りあげて浴室に放り込むか
43,"Every time it operates, the huge heart on its back makes a loud noise, and then it accelerates.",操作のたびにし背中の後ろの巨大な心臓が爆音をあげる　そして加速――
69,"We all knew it, and we were supposed to ""confirm"" it that night. We touched Hikaru's skeleton and checked the nerve reaction speed to see through it.",わかってたも何もあの夜みんなで〝確認〟したハズよ　ひかるの骨格に触れ神経の反応速度をチェックして見抜いたのよ
69,"We all knew it, and we were supposed to ""confirm"" it that night. We touched Hikaru's skeleton and checked the nerve reaction speed to see through it.",わかってたも何もあの夜みんなで〝確認〟したハズよ　ひかるの骨格に触れ神経の反応速度をチェックして見抜いたのよ
